"Conduction Band (eV)","vtkValidPointMask","arc_length","x (nm)","y (nm)","z (nm)"
1.2821,1,126.1,-3.9,0,25.9
1.282,1,126.36,-3.64,0,25.9
1.2818,1,126.62,-3.38,0,25.9
1.2818,1,126.88,-3.12,0,25.9
1.2819,1,127.14,-2.86,0,25.9
1.282,1,127.4,-2.6,0,25.9
1.2821,1,127.66,-2.34,0,25.9
1.2818,1,127.92,-2.08,0,25.9
1.2813,1,128.18,-1.82,0,25.9
1.2807,1,128.44,-1.56,0,25.9
1.281,1,128.7,-1.3,0,25.9
1.2813,1,128.96,-1.04,0,25.9
1.2816,1,129.22,-0.78,0,25.9
1.2819,1,129.48,-0.52,0,25.9
1.2822,1,129.74,-0.26,0,25.9
1.2825,1,130,0,0,25.9
1.2828,1,130.26,0.26,0,25.9
1.2831,1,130.52,0.52,0,25.9
1.2834,1,130.78,0.78,0,25.9
1.2838,1,131.04,1.04,0,25.9
1.2841,1,131.3,1.3,0,25.9
1.2844,1,131.56,1.56,0,25.9
1.2843,1,131.82,1.82,0,25.9
1.2841,1,132.08,2.08,0,25.9
1.2839,1,132.34,2.34,0,25.9
1.2838,1,132.6,2.6,0,25.9
1.2836,1,132.86,2.86,0,25.9
1.2834,1,133.12,3.12,0,25.9
1.2832,1,133.38,3.38,0,25.9
1.2831,1,133.64,3.64,0,25.9
1.2833,1,133.9,3.9,0,25.9
1.2841,1,134.16,4.16,0,25.9
1.2844,1,134.42,4.42,0,25.9
1.2838,1,134.68,4.68,0,25.9
1.2833,1,134.94,4.94,0,25.9
1.2835,1,135.2,5.2,0,25.9
1.2836,1,135.46,5.46,0,25.9
1.2838,1,135.72,5.72,0,25.9
1.2839,1,135.98,5.98,0,25.9
1.2841,1,136.24,6.24,0,25.9
1.2843,1,136.5,6.5,0,25.9
1.2844,1,136.76,6.76,0,25.9
1.2846,1,137.02,7.02,0,25.9
1.2825,1,137.28,7.28,0,25.9
1.2799,1,137.54,7.54,0,25.9
1.2773,1,137.8,7.8,0,25.9
1.2747,1,138.06,8.06,0,25.9
1.2721,1,138.32,8.32,0,25.9
1.2695,1,138.58,8.58,0,25.9
1.2669,1,138.84,8.84,0,25.9
1.2643,1,139.1,9.1,0,25.9
1.2617,1,139.36,9.36,0,25.9
1.259,1,139.62,9.62,0,25.9
1.2564,1,139.88,9.88,0,25.9
1.2538,1,140.14,10.14,0,25.9
1.2516,1,140.4,10.4,0,25.9
1.25,1,140.66,10.66,0,25.9
1.2502,1,140.92,10.92,0,25.9
1.2486,1,141.18,11.18,0,25.9
1.2461,1,141.44,11.44,0,25.9
1.2421,1,141.7,11.7,0,25.9
1.2377,1,141.96,11.96,0,25.9
1.2333,1,142.22,12.22,0,25.9
1.229,1,142.48,12.48,0,25.9
1.2246,1,142.74,12.74,0,25.9
1.2202,1,143,13,0,25.9
1.2158,1,143.26,13.26,0,25.9
1.2115,1,143.52,13.52,0,25.9
1.2071,1,143.78,13.78,0,25.9
1.2027,1,144.04,14.04,0,25.9
1.1984,1,144.3,14.3,0,25.9
1.194,1,144.56,14.56,0,25.9
1.1896,1,144.82,14.82,0,25.9
1.1853,1,145.08,15.08,0,25.9
1.1809,1,145.34,15.34,0,25.9
1.1765,1,145.6,15.6,0,25.9
1.1722,1,145.86,15.86,0,25.9
1.1691,1,146.12,16.12,0,25.9
1.168,1,146.38,16.38,0,25.9
1.167,1,146.64,16.64,0,25.9
1.166,1,146.9,16.9,0,25.9
1.165,1,147.16,17.16,0,25.9
1.164,1,147.42,17.42,0,25.9
1.163,1,147.68,17.68,0,25.9
1.1619,1,147.94,17.94,0,25.9
1.1609,1,148.2,18.2,0,25.9
1.1599,1,148.46,18.46,0,25.9
1.1589,1,148.72,18.72,0,25.9
1.1579,1,148.98,18.98,0,25.9
1.1569,1,149.24,19.24,0,25.9
1.1558,1,149.5,19.5,0,25.9
1.1548,1,149.76,19.76,0,25.9
